date,temperature,wind_speed,humidity,precipitation,latitude,longitude
6/12/2018,14.3878596,0.631082804,87.00401842,23.55534894,9.05806,38.76306
6/13/2018,13.35623512,1.446901151,90.89995396,9.568455815,9.05806,38.76306
6/14/2018,13.84294599,1.177394097,86.35292697,12.00402975,9.05806,38.76306
6/15/2018,14.06008809,0.826684941,92.05626003,42.4878371,9.05806,38.76306
6/16/2018,13.65409304,0.313071932,88.29864354,27.51917541,9.05806,38.76306
6/17/2018,14.09324163,0.979539881,79.62119948,8.289906382,9.05806,38.76306
6/18/2018,14.04322968,0.279770285,84.66941222,32.67964721,9.05806,38.76306
6/19/2018,13.6746727,0.705951001,89.32793896,19.54388022,9.05806,38.76306
6/20/2018,13.43829308,0.237145127,86.06625616,18.30817861,9.05806,38.76306
6/21/2018,13.00587362,0.420170589,86.8982004,18.19439232,9.05806,38.76306
6/22/2018,13.09787712,1.356110093,83.84298629,16.76255465,9.05806,38.76306
6/23/2018,12.92878367,1.510574702,86.48262335,13.19431961,9.05806,38.76306
6/24/2018,13.54706472,1.083310434,87.06870671,22.63479949,9.05806,38.76306
6/25/2018,13.54063695,0.522893492,85.60628542,14.20270921,9.05806,38.76306
6/26/2018,13.43786201,0.848437632,85.79073942,16.01785578,9.05806,38.76306
6/27/2018,13.7824557,0.790944056,90.31708445,70.1345424,9.05806,38.76306
6/28/2018,13.43319473,1.257931147,87.53650329,16.18303955,9.05806,38.76306
6/29/2018,13.3697684,1.086626604,88.10041172,14.41043008,9.05806,38.76306
6/30/2018,13.19171804,0.575897922,87.23148767,23.44670417,9.05806,38.76306
7/1/2018,13.40842527,0.830722752,84.70922839,20.74269003,9.05806,38.76306
7/2/2018,13.57038587,0.835450424,85.67620869,17.01435447,9.05806,38.76306
7/3/2018,13.79011434,0.360078308,86.77509591,16.63609993,9.05806,38.76306
7/4/2018,13.6148805,0.967971129,86.0719205,9.004509925,9.05806,38.76306
7/5/2018,13.61992416,1.530881338,87.28354093,13.07660937,9.05806,38.76306
7/6/2018,13.21077054,1.801109511,90.16634954,9.02765416,9.05806,38.76306
7/7/2018,13.15002721,1.605869112,87.73480409,19.17303622,9.05806,38.76306
7/8/2018,13.39337756,1.578611991,85.446621,16.35144651,9.05806,38.76306
7/9/2018,13.4615996,1.290117634,85.28142674,19.53314578,9.05806,38.76306
7/10/2018,12.71201541,1.306952328,91.98079668,13.74462247,9.05806,38.76306
7/11/2018,13.19468079,1.152574657,88.3471174,11.57473922,9.05806,38.76306
7/12/2018,13.12199109,1.919461879,86.53611369,7.399866106,9.05806,38.76306
7/13/2018,13.53288104,1.689769159,85.0358765,14.82003322,9.05806,38.76306
7/14/2018,13.73490105,1.184115075,85.76980299,18.32029214,9.05806,38.76306
7/15/2018,13.95511716,0.885877847,87.64859379,22.42406607,9.05806,38.76306
7/16/2018,13.90680148,1.261701349,84.29494147,11.37674036,9.05806,38.76306
7/17/2018,13.17898903,1.744999183,84.57616044,9.111279249,9.05806,38.76306
7/18/2018,13.23686244,1.192838109,86.77972171,12.67665625,9.05806,38.76306
7/19/2018,13.79377391,0.948570063,83.49590801,20.2486954,9.05806,38.76306
7/20/2018,14.01815249,1.18014997,86.47757989,11.14604175,9.05806,38.76306
7/21/2018,13.86192284,0.482009642,90.84534294,14.56893398,9.05806,38.76306
7/22/2018,14.17092603,0.759246518,86.01913187,4.806861445,9.05806,38.76306
7/23/2018,13.72888845,1.379919849,88.69796347,16.95594014,9.05806,38.76306
7/24/2018,13.14130236,1.435081273,86.66599095,15.17934144,9.05806,38.76306
7/25/2018,13.41037776,1.238060474,89.30616033,13.56175097,9.05806,38.76306
7/26/2018,13.65215963,0.418468894,87.2566009,14.0035028,9.05806,38.76306
7/27/2018,13.57238986,0.59350503,88.31651114,9.106117487,9.05806,38.76306
7/28/2018,13.44360313,0.869644117,87.90010371,10.06418978,9.05806,38.76306
7/29/2018,13.31061707,1.311661633,84.51006168,6.470704079,9.05806,38.76306
7/30/2018,13.1315539,0.912589129,85.58096441,24.15385842,9.05806,38.76306
7/31/2018,13.21645762,0.256259535,82.94742566,10.74720323,9.05806,38.76306
8/1/2018,13.44473546,0.378777612,85.20912346,5.938017368,9.05806,38.76306
8/2/2018,13.74236705,0.335720915,84.49460935,10.56905985,9.05806,38.76306
8/3/2018,13.50078799,0.508368794,85.79110869,9.59212482,9.05806,38.76306
8/4/2018,13.25817324,0.767665799,88.44166502,12.13653386,9.05806,38.76306
8/5/2018,13.2130263,0.495069687,87.22166398,21.89055662,9.05806,38.76306
8/6/2018,13.23921865,0.330559603,88.44658295,38.28866482,9.05806,38.76306
8/7/2018,13.75750885,0.637573339,80.79604851,1.954756449,9.05806,38.76306
8/8/2018,13.39990387,2.040634408,82.26795862,5.574634956,9.05806,38.76306
8/9/2018,13.46826897,1.569610239,83.75276534,14.5073384,9.05806,38.76306
8/10/2018,13.47142499,0.739008152,87.07438139,22.45029807,9.05806,38.76306
8/11/2018,13.68428574,0.806859395,83.4970017,9.932154417,9.05806,38.76306
8/12/2018,13.87131208,0.723327523,82.94145097,8.86962175,9.05806,38.76306
8/13/2018,13.05431582,1.341473456,88.40015419,9.801825491,9.05806,38.76306
8/14/2018,13.57295634,0.726379327,85.95655456,25.33306181,9.05806,38.76306
8/15/2018,12.53268776,0.882178579,94.37898325,12.62852366,9.05806,38.76306
8/16/2018,13.12596156,1.497555255,87.28427399,14.54047356,9.05806,38.76306
8/17/2018,14.03947665,0.989031558,93.3482696,108.7315168,9.05806,38.76306
8/18/2018,13.58759206,1.291562732,88.05115635,11.94348527,9.05806,38.76306
8/19/2018,13.53098577,0.997343522,84.25836712,6.41797483,9.05806,38.76306
8/20/2018,13.74343898,0.986072125,87.19557641,6.195098162,9.05806,38.76306
8/21/2018,13.91267929,0.587615553,92.27980521,52.83577368,9.05806,38.76306
8/22/2018,13.58084768,1.17166302,88.21119823,17.1644181,9.05806,38.76306
8/23/2018,13.3880338,0.617293048,87.72826849,17.95192063,9.05806,38.76306
8/24/2018,13.58252996,0.461327323,87.99277493,18.73067021,9.05806,38.76306
8/25/2018,13.71735916,0.796424921,83.91525395,12.13350892,9.05806,38.76306
8/26/2018,13.46940765,0.968773581,90.38032983,7.054674625,9.05806,38.76306
8/27/2018,13.78170929,0.773925132,85.15688953,17.62920618,9.05806,38.76306
8/28/2018,13.98710276,1.109057558,84.96275545,16.18406475,9.05806,38.76306
8/29/2018,12.7092879,1.276660419,93.17801148,8.900904655,9.05806,38.76306
8/30/2018,13.45477956,0.18536557,83.1975456,13.13127577,9.05806,38.76306
8/31/2018,14.02256673,0.628366462,85.22107538,7.616138458,9.05806,38.76306
9/1/2018,13.677034,0.770010132,89.98956311,12.95041292,9.05806,38.76306
9/2/2018,13.53187205,0.495812069,86.55375702,6.899669766,9.05806,38.76306
9/3/2018,13.7018912,0.778829892,86.50701781,10.04778147,9.05806,38.76306
9/4/2018,13.07277959,0.666936352,89.17249197,10.18405259,9.05806,38.76306
9/5/2018,12.92447751,0.695221759,79.73687477,1.543545723,9.05806,38.76306
