centroid_lat,centroid_lon,road_density_km_km2,urban_cover_percent
9.072731939,38.68985439,25.95265808,35.41270714
9.081776858,38.68984662,0,0
8.928020111,38.69907373,4.470322858,0
8.937065109,38.69906632,12.66125876,0
8.946110103,38.69905889,39.15569894,87.10412652
8.955155092,38.69905146,35.35753421,45.92809731
8.964200077,38.69904401,33.06756912,51.62644422
8.973245057,38.69903657,42.14669382,51.1022195
8.982290033,38.69902911,49.68974142,74.97431639
8.991335004,38.69902164,39.73036732,42.5328597
9.000379971,38.69901417,52.61086446,89.10160667
9.009424934,38.69900669,45.53525622,63.86892024
9.018469892,38.6989992,37.46593134,29.00874991
9.027514845,38.6989917,27.53298993,54.39062972
9.036559794,38.6989842,43.6958924,47.17712792
9.045604739,38.69897669,41.51850349,53.46371079
9.054649679,38.69896917,33.13400441,50.67455129
9.063694615,38.69896164,36.68193233,55.19364702
9.072739547,38.6989541,3.947893512,6.910510472
9.081784473,38.69894656,0,0
8.918982363,38.70817703,0.824096035,17.46424069
8.928027373,38.70816984,14.17415814,7.255598181
8.937072378,38.70816265,26.20111077,39.52154721
8.946117379,38.70815545,28.8036857,42.34219669
8.955162376,38.70814824,33.41415846,47.33793581
8.964207368,38.70814102,33.52530241,52.92196062
8.973252355,38.7081338,43.91741317,58.31571254
8.982297339,38.70812657,36.52038234,69.6549174
8.991342318,38.70811933,36.38096687,66.08248252
9.000387292,38.70811208,39.78514348,70.436239
9.009432262,38.70810483,32.68874627,42.18841072
9.018477228,38.70809756,33.81814601,16.97299605
9.027522189,38.70809029,31.93429242,34.36675113
9.036567145,38.70808302,55.79147943,84.51202475
9.045612098,38.70807573,44.30069542,81.24149228
9.054657045,38.70806844,44.92744752,67.20075123
9.063701989,38.70806114,27.84723602,35.82993419
9.072746927,38.70805383,10.63795165,0
9.081791862,38.70804651,0,0
8.918989394,38.71727292,4.295161111,15.0258623
8.928034411,38.71726596,16.71659054,10.88855142
8.937079424,38.71725899,31.97613235,41.91779308
8.946124432,38.71725201,52.03322572,68.87506741
8.955169436,38.71724503,39.6888008,78.75755102
8.964214435,38.71723804,43.34282915,62.80616633
8.97325943,38.71723104,46.76225567,68.26214104
8.982304421,38.71722403,35.7899056,70.76690025
8.991349407,38.71721702,41.41701627,78.19718144
9.000394388,38.71721,31.59777832,71.70707342
9.009439366,38.71720297,36.37631707,77.40166911
9.018484338,38.71719593,37.44402663,61.28715724
9.027529307,38.71718889,54.24346427,85.10484508
9.036574271,38.71718184,53.12820247,81.43339549
9.04561923,38.71717478,38.11491291,60.86361357
9.054664185,38.71716772,32.69820837,43.02694429
9.063709136,38.71716064,34.02873582,38.3185768
9.072754082,38.71715356,26.91595843,1.799573167
9.081799023,38.71714648,4.578334632,0
9.09084396,38.71713938,0,0
8.909951174,38.72637556,7.498725886,3.622028189
8.918996203,38.72636882,31.89421241,26.12495581
8.928041227,38.72636209,50.35855862,91.66020409
8.937086246,38.72635534,52.58289402,77.54936783
8.946131261,38.72634859,47.42982008,87.47411558
8.955176272,38.72634183,51.56423876,61.62799005
8.964221279,38.72633506,48.31679549,32.78102614
8.973266281,38.72632829,42.42031252,72.83473695
8.982311278,38.72632151,32.45817589,48.71164326
8.991356271,38.72631472,38.27493655,77.59014166
9.00040126,38.72630792,14.99036443,36.08056377
9.009446244,38.72630112,14.78187966,35.16836372
9.018491224,38.72629431,47.97730613,93.45220669
9.027536199,38.72628749,49.39146901,85.21825927
9.03658117,38.72628067,50.40272119,90.47170966
9.045626137,38.72627384,37.96204259,61.30046124
9.054671099,38.726267,45.35334624,84.36235055
9.063716056,38.72626016,49.01441227,74.92895703
9.07276101,38.7262533,23.03863209,7.95897297
9.081805958,38.72624644,16.27142984,0
9.090850902,38.72623958,0,0
8.900912714,38.73547774,10.156209,30.26952774
8.909957753,38.73547124,20.81179619,11.33948549
8.919002788,38.73546473,46.10061709,36.5492133
8.928047819,38.73545822,36.0498346,66.50768127
8.937092846,38.7354517,40.79875027,36.49583858
8.946137868,38.73544517,42.22398554,34.91161742
8.955182885,38.73543863,21.76099101,18.82401664
8.964227898,38.73543209,35.63371792,50.61495773
8.973272907,38.73542554,41.62426384,60.56798088
8.982317912,38.73541899,43.95681762,80.47793578
8.991362912,38.73541242,39.06441326,80.99080411
9.000407907,38.73540586,25.82909814,47.55161636
9.009452898,38.73539928,39.94211054,65.87649404
9.018497885,38.7353927,40.69513074,75.96846515
9.027542867,38.73538611,62.35478375,100
9.036587845,38.73537951,41.88190517,88.99492998
9.045632818,38.7353729,36.27340442,72.00780669
9.054677787,38.73536629,41.87208721,89.41187236
9.063722751,38.73535968,49.69180911,88.53057461
9.072767711,38.73535305,34.82880106,34.43892304
9.081812666,38.73534642,4.657859168,0
9.090857617,38.73533978,0.507188289,0
8.864738835,38.74459825,2.295493898,0
8.873783899,38.744592,2.295438829,0
8.882828958,38.74458574,1.663417951,0
8.891874013,38.74457948,3.22024453,3.707209757
8.900919064,38.74457321,26.23969372,41.53563157
8.90996411,38.74456693,22.99858963,14.51323684
8.919009152,38.74456065,36.26377579,42.51009538
8.928054189,38.74455436,48.12957146,84.4896157
8.937099222,38.74454806,46.89538924,83.38457316
8.946144251,38.74454176,65.45841677,100
8.955189275,38.74453545,44.79840845,67.90988521
8.964234295,38.74452913,39.00260919,68.02187415
8.97327931,38.7445228,43.83004217,89.82704384
8.982324321,38.74451647,37.07788205,86.86041474
